UK SPECTRUM FREQUENCIES BAND USE (1 kHz - 80 GHz) 2019


9 kHz - 148 kHz Licence Exempt, Metal Detectors
140.987 MHz - 141.487 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
140.987 MHz - 141.487 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

143 MHz - 144 MHz - Business Radio, Business Radio (Technically Assigned)

144 MHz - 146 MHz - Amateur Radio, Amateur Radio Foundation Licence
144 MHz - 146 MHz - Amateur Radio, Amateur Radio Full Licence
144 MHz - 146 MHz - Amateur Radio, Amateur Radio Intermediate Licence
146 MHz - 147 MHz - Amateur Radio, Amateur Radio Full Licence

146 MHz - 148 MHz - Business Radio, Business Radio (Police and Fire)

147.350 MHz - 147.4875 MHz - SAR, Mountain Rescue Teams

148.018 MHz - 148.981 MHz - Business Radio, Business Radio (Area Defined)
148.018 MHz - 148.981 MHz - Business Radio, Business Radio (Technically Assigned)

148.562 MHz - 148.587 MHz - Programme Making and Special Events, Audio Distribution System
148.562 MHz - 148.587 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
148.562 MHz - 148.587 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
148.562 MHz - 148.587 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power) 
148.712 MHz - 148.737 MHz - Programme Making and Special Events, Audio Distribution System 
148.712 MHz - 148.737 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site) 
148.712 MHz - 148.737 MHz - Programme Making and Special Events, Programme Making and Special Events (Link) 
148.712 MHz - 148.737 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

149 MHz - 149.9 MHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
149 MHz - 150.0 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
150 MHz - 4000 MHz - Technology Development, Ground Probing Radar

150.050 MHz - 152.000 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

153.025 MHz - 153.475 MHz - Business Radio, Business Radio (Area Defined)
153.025 MHz - 153.475 MHz - Business Radio, Business Radio (Technically Assigned)
153.037 MHz - 153.062 MHz - Business Radio, Business Radio (Police and Fire) 
154.000 MHz - 155.000 MHz - Business Radio, Business Radio (Technically Assigned)
155.343 MHz - 155.356 MHz - Business Radio, Business Radio (Police and Fire)

155.775 MHz - 155.975 MHz - SAR, Mountain Rescue Teams

156 MHz - 157.500 MHz - Maritime Radio, Coastal Station Radio (International)
156 MHz - 157.500 MHz - Maritime Radio, Coastal Station Radio (International) Area Defined
156 MHz - 157.500 MHz - Maritime Radio, Ship Portable Radio 
156 MHz - 157.500 MHz - Maritime Radio, Ship Radio

156.16875 MHz - UK Search Rescue
156.18125 MHz - UK Search Rescue
156.21875 MHz - UK Search Rescue
156.23125 MHz - UK Search Rescue
157.26875 MHz - UK Search Rescue
157.28125 MHz - UK Search Rescue

156.000 MHz - 165.043 MHz - Maritime Radio, Coastal Station Radio (Training School)
156.512 MHz - 156.537 MHz - Maritime Radio, AIS (Automatic Identification Systems)
157.012 MHz - 157.037 MHz - Maritime Radio, Coastal Station Radio (Marina)

157.205 MHz - 165.037 MHz - Business Radio, Business Radio (Area Defined)
157.205 MHz - 165.037 MHz - Business Radio, Business Radio (Technically Assigned)

157.450 MHz - 158.500 MHz - Maritime Radio, Coastal Station Radio (UK)
157.450 MHz - 158.500 MHz - Maritime Radio, Coastal Station Radio (UK) Area Defined
157.837 MHz - 157.862 MHz - Maritime Radio, Coastal Station Radio (Marina)

158 MHz - 165 MHz - Licence Exempt, Public Mobile Data Systems

158.781 MHz - 158.793 MHz - Business Radio, Business Radio (Suppliers Light)
159.181 MHz - 159.193 MHz - Business Radio, Business Radio (Suppliers Light)
159.243 MHz - 159.256 MHz - Business Radio, Business Radio (Suppliers Light)
159.343 MHz - 159.356 MHz - Business Radio, Business Radio (Suppliers Light)
159.393 MHz - 159.406 MHz - Business Radio, Business Radio (Suppliers Light)
159.418 MHz - 159.431 MHz - Business Radio, Business Radio (Suppliers Light)
159.443 MHz - 159.456 MHz - Business Radio, Business Radio (Suppliers Light)
159.481 MHz - 159.493 MHz - Business Radio, Business Radio (Suppliers Light)
159.493 MHz - 159.506 MHz - Business Radio, Business Radio (Suppliers Light)
159.581 MHz - 159.593 MHz - Business Radio, Business Radio (Suppliers Light)
159.600 MHz - 164.500 MHz - Business Radio, Business Radio (Simple Site)
159.618 MHz - 159.631 MHz - Business Radio, Business Radio (Suppliers Light)
159.681 MHz - 159.693 MHz - Business Radio, Business Radio (Suppliers Light)

160.600 MHz - 160.975 MHz - Maritime Radio, Coastal Station Radio (International)
160.600 MHz - 160.975 MHz - Maritime Radio, Coastal Station Radio (International) Area Defined
160.600 MHz - 160.975 MHz - Maritime Radio, Ship Portable Radio
160.600 MHz - 160.975 MHz - Maritime Radio, Ship Radio
160.975 MHz - 161.500 MHz - Maritime Radio, Coastal Station Radio (UK)

160.71875 MHz - UK Search Rescue
160.73125 MHz - UK Search Rescue
160.76875 MHz - UK Search Rescue
160.78125 MHz - UK Search Rescue
160.81875 MHz - UK Search Rescue
160.83125 MHz - UK Search Rescue
160.79375 MHz - UK Search Rescue
161.80625 MHz - UK Search Rescue
161.86875 MHz - UK Search Rescue
161.88125 MHz - UK Search Rescue

161.268 MHz - 161.281 MHz - Licence Exempt, General Alarms, Marine Applications including Fixed Shore Installations

161.412 MHz - 161.437 MHz - Maritime Radio, Coastal Station Radio (Marina)
161.475 MHz - 161.975 MHz - Maritime Radio, Coastal Station Radio (International)
161.475 MHz - 161.975 MHz - Maritime Radio, Coastal Station Radio (International) Area Defined
161.475 MHz - 161.975 MHz - Maritime Radio, Ship Portable Radio
161.475 MHz - 161.975 MHz - Maritime Radio, Ship Radio
161.612 MHz - 161.637 MHz - Maritime Radio, Coastal Station Radio (Marina)
161.962 MHz - 161.987 MHz - Maritime Radio, AIS (Automatic Identification Systems)
162.000 MHz - 163.050 MHz - Maritime Radio, Coastal Station Radio (UK)
162.000 MHz - 163.050 MHz - Maritime Radio, Coastal Station Radio (UK) Area Defined

162.000 MHz - 167.000 MHz - Licence Exempt, Common Base Station Systems

162.012 MHz - 162.037 MHz - Maritime Radio, AIS (Automatic Identification Systems)
162.437 MHz - 162.462 MHz - Maritime Radio, Maritime Navigational Aids and Radar
162.437 MHz - 162.462 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
162.437 MHz - 162.465 MHz - Maritime Radio, Differential Global Positioning System
163.012 MHz - 163.031 MHz - Maritime Radio, Maritime Navigational Aids and Radar
163.012 MHz - 163.031 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
163.012 MHz - 163.320 MHz - Maritime Radio, Differential Global Positioning System

163.281 MHz - 163.293 MHz - Business Radio, Business Radio (Suppliers Light)
163.681 MHz - 163.693 MHz - Business Radio, Business Radio (Suppliers Light)
163.743 MHz - 163.756 MHz - Business Radio, Business Radio (Suppliers Light)
163.843 MHz - 163.856 MHz - Business Radio, Business Radio (Suppliers Light)
163.893 MHz - 163.906 MHz - Business Radio, Business Radio (Suppliers Light)
163.918 MHz - 163.931 MHz - Business Radio, Business Radio (Suppliers Light)
163.943 MHz - 163.956 MHz - Business Radio, Business Radio (Suppliers Light)
163.981 MHz - 163.993 MHz - Business Radio, Business Radio (Suppliers Light)
163.993 MHz - 164.006 MHz - Business Radio, Business Radio (Suppliers Light)
164.043 MHz - 164.056 MHz - Business Radio, Business Radio (Simple UK) '164.0500'
164.056 MHz - 164.068 MHz - Business Radio, Business Radio (Simple UK) '164.0625'
164.081 MHz - 164.093 MHz - Business Radio, Business Radio (Suppliers Light)
164.118 MHz - 164.131 MHz - Business Radio, Business Radio (Suppliers Light)
164.181 MHz - 164.193 MHz - Business Radio, Business Radio (Suppliers Light)

164.400 MHz - 169.800 MHz - Licence Exempt, Public Two-way Paging Systems

165.050 MHz - 173.087 MHz - Business Radio, Business Radio (Area Defined)
165.050 MHz - 173.087 MHz - Business Radio, Business Radio (Technically Assigned)
167.193 MHz - 167.206 MHz - Business Radio, Business Radio (Suppliers Light)
169.006 MHz - 169.018 MHz - Business Radio, Business Radio (Suppliers Light)
169.081 MHz - 169.093 MHz - Business Radio, Business Radio (Simple UK)
169.131 MHz - 169.143 MHz - Business Radio, Business Radio (Suppliers Light)
169.156 MHz - 169.168 MHz - Business Radio, Business Radio (Suppliers Light)
169.181 MHz - 169.193 MHz - Business Radio, Business Radio (Suppliers Light)
169.306 MHz - 169.318 MHz - Business Radio, Business Radio (Simple UK)

169.400 MHz - 169.475 MHz - Licence Exempt, Assistive Listening Device
169.400 MHz - 169.475 MHz - Licence Exempt, Industrial/Commercial Telemetry and Tele-command
169.400 MHz - 169.475 MHz - Licence Exempt, Metering device
169.400 MHz - 169.812 MHz - Licence Exempt, CDMA Spread Spectrum Data Asset Tracking Systems
169.400 MHz - 169.812 MHz - Licence Exempt, Non-Specific Short Range Device
169.475 MHz - 169.487 MHz - Licence Exempt, Social Alarms
169.487 MHz - 169.587 MHz - Licence Exempt, Assistive Listening Device
169.587 MHz - 169.600 MHz - Licence Exempt, Social Alarms
171.000 MHz - 191.000 MHz - Licence Exempt, Common Base Station Systems

171.993 MHz - 172.006 MHz - Business Radio, Business Radio (Suppliers Light)
173.043 MHz - 173.056 MHz - Business Radio, Business Radio (Simple UK)
173.056 MHz - 173.068 MHz - Business Radio, Business Radio (Simple UK)
173.081 MHz - 173.093 MHz - Business Radio, Business Radio (Simple UK)

Business Radio (Simple UK)
173.0500 MHz
173.0625 MHz
173.0875 MHz

173.181 MHz - 173.193 MHz - Licence Exempt, Mobile, Transportable and Lone worker Safety Alarms
173.200 MHz - 173.35 MHz - Licence Exempt, Industrial/Commercial Telemetry and Tele-command
173.200 MHz - 173.35 MHz - Licence Exempt, Non-Specific Short Range Device
173.212 MHz - 173.237 MHz - Licence Exempt, Fixed Alarms
173.325 MHz - 175.075 MHz - Licence Exempt, Assistive Listening Device
173.587 MHz - 173.600 MHz - Licence Exempt, Non-Specific Short Range Device
173.700 MHz - 174 MHz - Licence Exempt, Medical and Biological Applications
173.700 MHz - 175.100 MHz - Licence Exempt, Railway Applications

173.987 MHz - 174 MHz - Business Radio, Business Radio (Police and Fire)

174 MHz - 208 MHz - Licence Exempt, Public Access Mobile Radio Systems
174 MHz - 225 MHz - Licence Exempt, Public Mobile Data Systems

175.150 MHz - 175.35 MHz - Programme Making and Special Events, Audio Distribution System
175.150 MHz - 175.35 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
175.150 MHz - 175.35 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
175.150 MHz - 175.35 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
175.150 MHz - 175.35 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
175.425 MHz - 175.625 MHz - Programme Making and Special Events, Audio Distribution System
175.425 MHz - 175.625 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
175.425 MHz - 175.625 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
175.425 MHz - 175.625 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
175.425 MHz - 175.625 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
176.300 MHz - 176.5 MHz - Programme Making and Special Events, Audio Distribution System
176.300 MHz - 176.5 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
176.300 MHz - 176.5 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
176.300 MHz - 176.5 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
176.500 MHz - 176.7 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
176.500 MHz - 176.9 MHz - Programme Making and Special Events, Audio Distribution System
176.500 MHz - 176.9 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
176.500 MHz - 176.9 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
176.500 MHz - 176.9 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
176.900 MHz - 177.1 MHz - Programme Making and Special Events, Audio Distribution System
176.900 MHz - 177.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
176.900 MHz - 177.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
176.900 MHz - 177.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

177 MHz - 191 MHz - Licence Exempt, CDMA Spread Spectrum Data Asset Tracking Systems

177.512 MHz - 184.487 MHz - Business Radio, Business Radio (Area Defined)
177.512 MHz - 184.487 MHz - Business Radio, Business Radio (Technically Assigned)

181.693 MHz - 181.806 MHz - Programme Making and Special Events, Audio Distribution System
181.693 MHz - 181.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
181.693 MHz - 181.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
181.693 MHz - 181.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Audio Distribution System
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

185.212 MHz - 191.487 MHz - Business Radio, Business Radio (Area Defined)
185.212 MHz - 191.487 MHz - Business Radio, Business Radio (Technically Assigned)

189.693 MHz - 189.806 MHz - Programme Making and Special Events, Audio Distribution System
189.693 MHz - 189.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
189.693 MHz - 189.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
181.693 MHz - 181.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Audio Distribution System
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
184.500 MHz - 185.100 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

185.212 MHz - 191.487 MHz - Business Radio, Business Radio (Area Defined)
185.212 MHz - 191.487 MHz - Business Radio, Business Radio (Technically Assigned)

189.693 MHz - 189.806 MHz - Programme Making and Special Events, Audio Distribution System
189.693 MHz - 189.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
189.693 MHz - 189.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)

189.693 MHz - 189.806 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
191.600 MHz - 191.800 MHz - Programme Making and Special Events, Audio Distribution System
191.600 MHz - 191.800 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
191.600 MHz - 191.800 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
191.600 MHz - 191.800 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
191.800 MHz - 192.000 MHz - Programme Making and Special Events, Audio Distribution System
191.800 MHz - 192.000 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
191.800 MHz - 192.000 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
191.800 MHz - 192.000 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
191.800 MHz - 192.000 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
192.000 MHz - 193.1 MHz - Programme Making and Special Events, Audio Distribution System
192.000 MHz - 193.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
192.000 MHz - 193.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
192.000 MHz - 193.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
192.700 MHz - 193.1 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
192.900 MHz - 193.1 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)

193.212 MHz - 199.487 MHz - Business Radio, Business Radio (Technically Assigned)

199.600 MHz - 199.8 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
199.600 MHz - 200.2 MHz - Programme Making and Special Events, Audio Distribution System
199.600 MHz - 200.2 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
199.600 MHz - 200.2 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
199.600 MHz - 200.2 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
200.000 MHz - 201.1 MHz - Programme Making and Special Events, Audio Distribution System
200.000 MHz - 201.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
200.200 MHz - 200.4 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
200.200 MHz - 200.5 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
200.200 MHz - 201.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
200.500 MHz - 200.7 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)

201.212 MHz - 207.487 MHz - Business Radio, Business Radio (Technically Assigned)

207.600 MHz - 210.2 MHz - Programme Making and Special Events, Audio Distribution System
207.600 MHz - 210.2 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
207.600 MHz - 210.2 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
207.600 MHz - 210.2 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
208.200 MHz - 208.4 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
208.500 MHz - 208.7 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
208.900 MHz - 209.1 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)

209 MHz - 215 MHz - Licence Exempt, Common Base Station Systems

209.100 MHz - 209.3 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
209.500 MHz - 209.7 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
209.700 MHz - 209.9 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)

210.792 MHz - 230 MHz - Broadcasting Services, Transmission of National and Local Radio Broadcasting Services (T-DAB)

242.987 MHz - 243.012 MHz - Aeronautical, Aircraft
242.994 MHz - 243.006 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
242.994 MHz - 243.006 MHz - Maritime Radio, Ship Portable Radio
242.994 MHz - 243.006 MHz - Maritime Radio, Ship Radio

243.000 MHz - Military Air Distress (AM)

328.600 MHz - 335.400 MHz - Aeronautical, Aeronautical Navigation Aid Stations

380 MHz - 385 MHz - Business Radio, Business Radio (Public Safety/TETRA AIRWAVE)
390 MHz - 395 MHz - Business Radio, Business Radio (Public Safety/TETRA AIRWAVE)

401 MHz - 402 MHz - Licence Exempt, Active medical implants
402 MHz - 405 MHz - Licence Exempt, Active medical implants
405 MHz - 406 MHz - Licence Exempt, Active medical implants

406 MHz - 406.1 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)

406 MHz - 406.1 MHz - Licence Exempt, Personal Locator Beacon
406 MHz - 406.1 MHz - Maritime Radio, Ship Portable Radio
406 MHz - 406.1 MHz - Maritime Radio, Ship Radio

406.1 MHz - 410 MHz - Spectrum Access, Converted Spectrum Access
406.1 MHz - 410 MHz - Spectrum Access, Crown Recognised Spectrum Access
410 MHz - 412 MHz - Spectrum Access, Converted Spectrum Access
410 MHz - 412 MHz - Spectrum Access, Crown Recognised Spectrum Access

410 MHz - 430 MHz - Licence Exempt, Public Access Mobile Radio Systems

412 MHz - 414 MHz - Spectrum Access, Spectrum Access (412-414 and 422-424 MHz)
414 MHz - 420 MHz - Spectrum Access, Converted Spectrum Access
414 MHz - 420 MHz - Spectrum Access, Crown Recognised Spectrum Access
420 MHz - 422 MHz - Spectrum Access, Converted Spectrum Access
420 MHz - 422 MHz - Spectrum Access, Crown Recognised Spectrum Access
422 MHz - 424 MHz - Spectrum Access, Spectrum Access (412-414 and 422-424 MHz)
424 MHz - 425 MHz - Spectrum Access, Converted Spectrum Access
424 MHz - 425 MHz - Spectrum Access, Crown Recognised Spectrum Access

425 MHz - 450 MHz - Licence Exempt, Public Mobile Data Systems

425.012 MHz - 429.475 MHz - Business Radio, Business Radio (Area Defined)
425.012 MHz - 429.475 MHz - Business Radio, Business Radio (Technically Assigned)

425.312 MHz - 425.562 MHz - Programme Making and Special Events, Audio Distribution System
425.312 MHz - 425.562 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
425.312 MHz - 425.562 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
425.312 MHz - 425.562 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
427.762 MHz - 428.012 MHz - Programme Making and Special Events, Audio Distribution System
427.762 MHz - 428.012 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
427.762 MHz - 428.012 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
427.762 MHz - 428.012 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

429 MHz - 430 MHz - Spectrum Access, Converted Spectrum Access

429 MHz - 430 MHz - Spectrum Access, Crown Recognised Spectrum Access

430 MHz - 440 MHz - Amateur Radio, Amateur Radio Foundation Licence
430 MHz - 440 MHz - Amateur Radio, Amateur Radio Full Licence
430 MHz - 440 MHz - Amateur Radio, Amateur Radio Intermediate Licence

431.006 MHz - 431.993 MHz - Business Radio, Business Radio (Area Defined)
431.006 MHz - 431.993 MHz - Business Radio, Business Radio (Technically Assigned)

433.050 MHz - 434.790 MHz - Licence Exempt, Model Control
433.050 MHz - 434.790 MHz - Licence Exempt, Non-Specific Short Range Device
440.000 MHz - 449.000 MHz - Licence Exempt, Common Base Station Systems

440.012 MHz - 443.975 MHz - Business Radio, Business Radio (Area Defined)
440.012 MHz - 443.975 MHz - Business Radio, Business Radio (Technically Assigned)

442.262 MHz - 442.512 MHz - Programme Making and Special Events, Audio Distribution System
442.262 MHz - 442.512 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
442.262 MHz - 442.512 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
442.262 MHz - 442.512 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

445.512 MHz - 449.725 MHz - Business Radio, Business Radio (Area Defined)
445.512 MHz - 449.725 MHz - Business Radio, Business Radio (Technically Assigned)

446.0 MHz - 446.1 MHz - Licence Exempt, PMR 446

PMR 446
Channel 1 - 446.00625 MHz
Channel 2 - 446.01875 MHz
Channel 3 - 446.03125 MHz
Channel 4 - 446.04375 MHz
Channel 5 - 446.05625 MHz
Channel 6 - 446.06875 MHz
Channel 7 - 446.08125 MHz
Channel 8 - 446.09375 MHz

446.1 MHz - 446.2 MHz - Licence Exempt, Digital PMR 446

Digital PMR 446
Digital Channel 1 - 446.10625 MHz
Digital Channel 2 - 446.11875 MHz
Digital Channel 3 - 446.13125 MHz
Digital Channel 4 - 446.14375 MHz
Digital Channel 5 - 446.15625 MHz
Digital Channel 6 - 446.16875 MHz
Digital Channel 7 - 446.18125 MHz
Digital Channel 8 - 446.19375 MHz

446.425 MHz - 447.512 MHz - Programme Making and Special Events, Audio Distribution System
446.425 MHz - 447.512 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
446.425 MHz - 447.512 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
446.425 MHz - 447.512 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

447.875 MHz - G4S National

449.306 MHz - 449.318 MHz - Business Radio, Business Radio (Simple UK) '449.3125'
449.393 MHz - 449.406 MHz - Business Radio, Business Radio (Simple UK) '449.4000'
449.468 MHz - 449.481 MHz - Business Radio, Business Radio (Simple UK) '449.4750'

Simple UK
449.3125 MHz - Channel 1
449.4000 MHz - Channel 2
449.4750 MHz - Channel 3

450 MHz - 453 MHz - Business Radio, Business Radio (Police and Fire, Prisons)
450 MHz - 470 MHz - Licence Exempt, Public Mobile Data Systems

453.550 MHz - Rail National
453.900 MHz - Rail National

453.01250 MHz - 454.987 MHz - Business Radio, Business Radio (Area Defined)
453.01250 MHz - 454.987 MHz - Business Radio, Business Radio (Technically Assigned)
453.68125 MHz - 453.693 MHz - Business Radio, Business Radio (Suppliers Light)
454.41250 MHz - 454.437 MHz - Business Radio, Business Radio (Suppliers Light)

453.5875 MHz - Tesco Stores National
460.0875 MHz - Tesco Stores National

454.987 MHz - 455.475 MHz - Programme Making and Special Events, Audio Distribution System
454.987 MHz - 455.475 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
454.987 MHz - 455.475 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
454.987 MHz - 455.475 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

455.475 MHz - 455.850 MHz - Business Radio, Business Radio (Area Defined)
455.475 MHz - 455.850 MHz - Business Radio, Business Radio (Technically Assigned)

455.875 MHz - 456.000 MHz - Business Radio, Business Radio (Police and Fire)

455.9875 MHz - Fire Service

456.006 MHz - 456.018 MHz - Business Radio, Business Radio (Suppliers Light)
456.331 MHz - 456.343 MHz - Business Radio, Business Radio (Suppliers Light)
456.381 MHz - 456.393 MHz - Business Radio, Business Radio (Suppliers Light)
456.456 MHz - 456.468 MHz - Business Radio, Business Radio (Suppliers Light)

456.518 MHz - 456.531 MHz - Maritime Radio, Ship Radio

456.556 MHz - 456.568 MHz - Business Radio, Business Radio (Suppliers Light)
456.681 MHz - 456.693 MHz - Business Radio, Business Radio (Suppliers Light)
456.856 MHz - 456.868 MHz - Business Radio, Business Radio (Suppliers Light)

456.900 MHz - 457.100 MHz - Licence Exempt, Non-Specific Short Range Device

456.918 MHz - 456.931 MHz - Business Radio, Business Radio (Suppliers Light)
456.956 MHz - 456.968 MHz - Business Radio, Business Radio (Suppliers Light)
456.981 MHz - 456.993 MHz - Business Radio, Business Radio (Suppliers Light)

457 MHz - 457.25 MHz - Business Radio, Business Radio (Police and Fire)

Firefighter Handhelds 457.0375 MHz
Firefighter Handhelds 457.0875 MHz
Firefighter Handhelds 457.0125 MHz
Firefighter Handhelds 457.1375 MHz
Firefighter Handhelds 457.1875 MHz
Firefighter Handhelds 457.2375 MHz

457.25 MHz - 457.475 MHz - Programme Making and Special Events, Audio Distribution System
457.25 MHz - 457.475 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
457.25 MHz - 457.475 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
457.25 MHz - 457.475 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

457.475 MHz - 457.500 MHz - Business Radio, Business Radio (Police and Fire)

Firefighter Handhelds 457.4875 MHz

457.5 MHz - 458.5 MHz - Fixed Links, Scanning Telemetry (National)
457.5 MHz - 458.5 MHz - Fixed Links, Scanning Telemetry (Shared)

457.512 MHz - 457.537 MHz - Aeronautical, Aircraft
457.518 MHz - 457.531 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
457.518 MHz - 457.531 MHz - Maritime Radio, Ship Radio
457.531 MHz - 457.543 MHz - Aeronautical, Aircraft
457.531 MHz - 457.543 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
457.531 MHz - 457.543 MHz - Maritime Radio, Ship Radio
457.537 MHz - 457.562 MHz - Aeronautical, Aircraft
457.543 MHz - 457.556 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
457.543 MHz - 457.556 MHz - Maritime Radio, Ship Radio
457.556 MHz - 457.568 MHz - Aeronautical, Aircraft
457.556 MHz - 457.568 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
457.556 MHz - 457.568 MHz - Maritime Radio, Ship Radio
457.562 MHz - 457.587 MHz - Aeronautical, Aircraft
